systemId,Code,Quantity,Amount,Sale Date,Transaction ID
21022,594,6,184.920000000,2022-03-10,382737
21022,1117,18,225.180000000,2022-03-10,382737
21022,1120,10,193.800000000,2022-03-10,382737
21022,9525,12,133.320000000,2022-03-10,382737
26760,1116,18,202.500000000,2022-03-10,382497
26760,1117,18,232.560000000,2022-03-10,382497
26760,9525,12,133.320000000,2022-03-10,382497
26760,9549,22,186.780000000,2022-03-10,382497
16434,9337,12,312.960000000,2022-03-10,382504
16064,594,12,395.880000000,2022-03-10,382561
4952,1054,8,372.480000000,2022-03-10,382581
6148,1081,12,472.560000000,2022-03-10,382579
15855,1113,2,25.540000000,2022-03-10,382765
19158,9525,60,636.600000000,2022-03-10,382603
19158,9549,44,366.520000000,2022-03-10,382603
19158,9527,16,0.000000000,2022-03-10,382780
18315,9524,40,264.400000000,2022-03-10,382667
18315,9525,12,130.800000000,2022-03-10,382667
18315,9527,16,158.880000000,2022-03-10,382667
18315,9528,20,130.200000000,2022-03-10,382667
18315,9549,66,516.780000000,2022-03-10,382667
14773,1120,400,7752.000000000,2022-03-10,382764
21104,9525,360,3697.200000000,2022-03-10,382665
21104,9549,330,2699.400000000,2022-03-10,382665
21104,9525,72,0.000000000,2022-03-10,382664
21104,9549,66,0.000000000,2022-03-10,382664
10414,9527,16,151.840000000,2022-03-10,382714
10414,9549,44,366.520000000,2022-03-10,382714
19939,9576,6,145.800000000,2022-03-10,382999
19970,594,12,429.840000000,2022-03-10,382592
22283,1058,5,145.250000000,2022-03-10,382772
23795,1101,8,292.720000000,2022-03-10,382898
19329,850,1,42.870000000,2022-03-10,383029
19329,1058,1,29.810000000,2022-03-10,383029
19329,1101,8,310.560000000,2022-03-10,383029
19329,1116,3,31.590000000,2022-03-10,383029
19939,594,24,737.760000000,2022-03-10,383113
10686,9576,6,145.800000000,2022-03-10,383007
18045,9337,6,162.000000000,2022-03-11,383087
18045,9525,12,153.480000000,2022-03-11,383087
18045,9527,16,183.040000000,2022-03-11,383087
9702,1095,30,1209.000000000,2022-03-11,383012
3839,1120,10,182.200000000,2022-03-11,383120
3839,9524,20,146.800000000,2022-03-11,383120
3839,9525,36,461.160000000,2022-03-11,383120
3839,9527,16,171.360000000,2022-03-11,383120
3839,9528,20,141.400000000,2022-03-11,383120
22353,9525,24,266.640000000,2022-03-11,382913
25434,850,2,83.160000000,2022-03-11,382980
25434,9337,30,782.400000000,2022-03-11,382980
16874,9525,12,133.320000000,2022-03-11,383056
21369,1120,10,193.800000000,2022-03-11,383057
